Sequence;MOTU_bGMYC_005
MG448838_B_longirostris;2
MG449851_B_longirostris;2
ZPLV097N17_B_longirostris_Mexico_BOLD_AAD9496;2
ZPLV098N17_B_longirostris_Mexico_BOLD_AAD9496;2
ZPLV091N17_B_longirostris_Mexico_BOLD_AAD9496;2
ZPLV090N17_B_longirostris_Mexico_BOLD_AAD9496;2
ZPLV092N17_B_longirostris_Mexico_BOLD_AAD9496;2
ZPLKA177N15_B_longirostris_Mexico_BOLD_AAD9496;2
BACZP387N16_B_longirostris_Mexico_BOLD_AAD9496;2
HM883961_B_longirostris;2
HM883958_B_longirostris;2
EU702020_B_longirostris;2
EU702018_B_longirostris;2
MG450147_B_longirostris;2
EU702019_B_longirostris;2
HM883995_B_longirostris;2
HM883999_B_longirostris;2
DNARA1630N21_Bosmina_Canada_BOLD_AEN5568;3
DNARA1811N21_Bosmina_Canada_BOLD_AEN5568;3
DNARA1812N21_Bosmina_Canada_BOLD_AEN5568;3
DNARA1682N21_Bosmina_Canada_BOLD_AEN5568;3
DNARA1684N21_Bosmina_Canada_BOLD_AEN5568;3
DNARA1457N21_Bosmina_Canada_BOLD_AEN5568;3
DNARA1683N21_Bosmina_Canada_BOLD_AEN5568;3
LC215480_B_cf_longirostris;3
LC215478_B_cf_longirostris;3
LC215479_B_cf_longirostris;3
DNARA1652N21_Bosmina_Canada_BOLD_AEN5581;3
DNARA1820N21_Bosmina_Canada_BOLD_AEN5581;3
LC215477_B_cf_longirostris;3
MW786945_B_fatalis;3
B_longirostris_Argentina04aa;3
B_longirostris_Argentina03aa;3
B_longirostris_Argentina05aa;3
B_longirostris_Argentina01aa;3
B_longirostris_Argentina06aa;3
ESP197N12_Bosmina_Spain_BOLD_ACA1800;3
ESP198N12_Bosmina_Spain_BOLD_ACA1800;3
KINBZ003N22_B_longirostris_Israel_BOLD_AEO5856;3
KINBZ002N22_B_longirostris_Israel_BOLD_AEO5856;3
KINBZ008N22_B_longirostris_Israel_BOLD_AEO5856;3
KINBZ007N22_B_longirostris_Israel_BOLD_AEO5856;3
KINBZ005N22_B_longirostris_Israel_BOLD_AEO5856;3
KINBZ006N22_B_longirostris_Israel_BOLD_AEO5856;3
KINBZ011N22_B_longirostris_Israel_BOLD_AEO5856;3
KINBZ004N22_B_longirostris_Israel_BOLD_AEO5856;3
KINBZ001N22_B_longirostris_Israel_BOLD_AEO5856;3
KINBZ010N22_B_longirostris_Israel_BOLD_AEO5856;3
KINBZ009N22_B_longirostris_Israel_BOLD_AAO1376;3
AY075057_B_coregoni;3
ESP508N14_B_meridionalis_Czechia_BOLD_AAO1376;3
ESP509N14_B_meridionalis_Czechia_BOLD_AAO1376;3
ESP505N14_B_meridionalis_Czechia_BOLD_AAO1376;3
ESP506N14_Bosmina_Czechia_BOLD_AAO1376;3
ESP507N14_B_meridionalis_Czechia_BOLD_AAO1376;3
CAISN069N12_Bosmina_Canada_BOLD_ACL8120;3
ESP292N12_B_longirostris_Spain_BOLD_ACA9544;3
LC215476_B_cf_longirostris;3
DNARC068N19_Bosmina_Canada_BOLD_AEA5586;3
DNARC070N19_Bosmina_Canada_BOLD_AEA5586;3
DNARA1655N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1189N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1627N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1186N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1188N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1631N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1660N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1632N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1191N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1658N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1666N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1667N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1629N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1659N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1822N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1809N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1821N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1628N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1190N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1626N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1187N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1653N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1185N21_Bosmina_Canada_BOLD_AEA5586;3
DNARA1823N21_Bosmina_Canada_BOLD_AEA5586;3
OP830059_B_liederi;3
OP829953_B_liederi;3
OP830253_B_liederi;3
GLC040N06_B_liederi_Canada_Great_Lakes;3
HQ966468_B_liederi;3
HQ966466_B_liederi;3
HQ966467_B_liederi;3
JN233823_B_liederi;3
JN233824_B_liederi;3
JN233822_B_liederi;3
HQ966469_B_liederi;3
HQ966471_B_liederi;3
HQ966470_B_liederi;3
OP829920_B_liederi;3
OP830104_B_liederi;3
MG449441_B_liederi;3
MG449247_B_liederi;3
MG449280_B_liederi;3
COAPP287N13_Bosmina_Canada_BOLD_AAI4721;3
COAPP288N13_Bosmina_Canada_BOLD_AAI4721;3
COAPP297N13_Bosmina_Canada_BOLD_AAI4721;3
EU702002_B_sp_BOLD_AAI4721;3
MG449685_B_liederi;3
MG449847_B_liederi;3
MG449147_B_liederi;3
MG449317_B_liederi;3
MG449799_B_liederi;3
BACZP1230N16_B_liederi_Canada_BOLD_ABZ8276;3
BACZP1167N16_B_liederi_Canada_BOLD_ABZ8276;3
BACZP1255N16_B_liederi_Canada_BOLD_ABZ8276;3
COAPP411N13_B_liederi_Canada_BOLD_ABZ8276;3
MG449744_B_liederi;3
MG449841_B_liederi;3
OP830155_B_liederi;3
OP830311_B_liederi;3
MG449386_B_liederi;3
MG448765_B_liederi;3
MG449315_B_liederi;3
KT706147_B_liederi;3
MG449357_B_liederi;3
MG449046_B_liederi;3
MG449077_B_liederi;3
MG450291_B_liederi;3
MG449575_B_liederi;3
MG450050_B_liederi;3
MG449583_B_liederi;3
MG449481_B_liederi;3
MG449857_B_liederi;3
MG450174_B_liederi;3
MG449207_B_liederi;3
KT707374_B_liederi;3
MG450272_B_liederi;3
KT705731_B_liederi;3
MG449492_B_liederi;3
MG448631_B_liederi;3
MG449875_B_liederi;3
MG449184_B_liederi;3
MG449478_B_liederi;3
MG449265_B_liederi;3
MG449897_B_liederi;3
MG448657_B_liederi;3
MG449273_B_liederi;3
MG448613_B_liederi;3
KT707760_B_liederi;3
MG449972_B_liederi;3
CAISN079N12_B_liederi_Canada_BOLD_ABZ8276;3
MG449888_B_liederi;3
MG449180_B_liederi;3
MG450318_B_liederi;3
MG448968_B_liederi;3
MG449359_B_liederi;3
MG450153_B_liederi;3
MG450204_B_liederi;3
MG448819_B_liederi;3
MG449668_B_liederi;3
MG448897_B_liederi;3
MG449821_B_liederi;3
MG449712_B_liederi;3
MG448650_B_liederi;3
MG450170_B_liederi;3
ESP201N12_B_liederi_Spain_BOLD_ABZ8276;3
ESP200N12_B_liederi_Spain_BOLD_ABZ8276;3
ESP199N12_B_liederi_Spain_BOLD_ABZ8276;3
MG449067_B_liederi;3
MG449253_B_liederi;3
MG449436_B_liederi;3
MG449716_B_liederi;3
MG449969_B_liederi;3
MG450047_B_liederi;3
MG449340_B_liederi;3
MG450294_B_liederi;3
MG450208_B_liederi;3
MG449102_B_liederi;3
MG448971_B_liederi;3
MG450151_B_liederi_AK;3
MG448707_B_liederi;3
MG449530_B_liederi;3
Liederobosmina_tanakai02;4
Lunobosmina_oriens_USA16a;5
Lunobosmina_oriens_USA22a;5
Lunobosmina_oriens_USA11i;5
Lunobosmina_oriens_USA16b;5
OP830166_B_cf_longispina;6
Liederobosmina_american_longispina02;6
OP830153_B_cf_longispina;6
MG936240_B_sp;6
MG936043_B_sp;6
MG936530_B_sp;6
MG936534_B_sp;6
MG936238_B_sp;6
MG936261_B_sp;6
DNARA2954N21_Bosmina_Canada_BOLD_AEA3695;6
DNARA2955N21_Bosmina_Canada_BOLD_AEA3695;6
DNARA2094N21_Bosmina_Canada_BOLD_AEA3695;6
DNARA1511N21_Bosmina_Canada_BOLD_AEA3695;6
DNARA2374N21_Bosmina_Canada_BOLD_AEA3695;6
DNARA2372N21_Bosmina_Canada_BOLD_AEA3695;6
DNARA1513N21_Bosmina_Canada_BOLD_AEA3695;6
DNARA2097N21_Bosmina_Canada_BOLD_AEA3695;6
DNARA2325N21_Bosmina_Canada_BOLD_AEA3695;6
DNARA2326N21_Bosmina_Canada_BOLD_AEA3695;6
GCHAR1122N19_Bosmina_Canada_BOLD_AEA3695;6
DNARC013N19_Bosmina_Canada_BOLD_AEA3695;6
DNARA2371N21_Bosmina_Canada_BOLD_AEA3695;6
DNARA2373N21_Bosmina_Canada_BOLD_AEA3695;6
GCHAR1121N19_Bosmina_Canada_BOLD_AEA3695;6
DNARA2957N21_Bosmina_Canada_BOLD_AEA3695;6
DNARA2375N21_Bosmina_Canada_BOLD_AEA3695;6
DNARA2952N21_Bosmina_Canada_BOLD_AEA3695;6
DNARA2956N21_Bosmina_Canada_BOLD_AEA3695;6
GCHAR1120N19_Bosmina_Canada_BOLD_AEA3695;6
DNARA2096N21_Bosmina_Canada_BOLD_AEA3695;6
DNARA2953N21_Bosmina_Canada_BOLD_AEA3695;6
ZOOPS188N18_B_cf_longispina_Finland_BOLD_ADR9483;6
MH321381_Eubosmina_longispina;6
MH321391_Eubosmina_longispina;6
MH321395_Eubosmina_longispina;6
MH321384_Eubosmina_longispina;6
MH321394_Eubosmina_longispina;6
MH321386_Eubosmina_longispina;6
MH321396_Eubosmina_longispina;6
MH321383_Eubosmina_longispina;6
MH321389_Eubosmina_longispina;6
MH321388_Eubosmina_longispina;6
MH321390_Eubosmina_longispina;6
MH321385_Eubosmina_longispina;6
MH321392_Eubosmina_longispina;6
MH321387_Eubosmina_longispina;6
MH321393_Eubosmina_longispina;6
OP830017_B_cf_longispina;6
OP830119_B_cf_longispina;6
MH321382_Eubosmina_longispina;6
OP830292_B_cf_longispina;6
ZOOPS187N18_B_cf_longispina_Finland_BOLD_AAW7791;6
MG449616_B_sp;6
OP829924_B_cf_longispina;6
CAISN022N12_Bosmina_Canada_BOLD_AAW7791;6
CAISN035N12_Bosmina_Canada_BOLD_AAW7791;6
OP830043_B_cf_coregoni;6
DQ310635_B_sp1_JRdWN2005;6
DQ889083_B_sp_BOLD_AAW7791;6
OP830246_B_cf_coregoni;6
OP829977_B_cf_coregoni;6
CAISN020N12_Bosmina_Canada_BOLD_AAW7791;6
CAISN034N12_Bosmina_Canada_BOLD_AAW7791;6
MZ964905_B_sp1;6
CAISN914N13_B_sp_Canada_BOLD_AAW7791;6
MZ964907_B_sp1;6
Liederobosmina_Argentina03b;7
Liederobosmina_Argentina03c;7
Liederobosmina_Argentina03a;7
Liederobosmina_Argentina03d;7
Liederobosmina_meridionalis_Australia01a;8
KC508662_B_meridionalis;8
Liederobosmina_meridionalis_Australia02a;8
KC508661_B_meridionalis;8
Liederobosmina_meridionalis_Australia02b;8
Liederobosmina_chilense_Argentina09a;8
Liederobosmina_chilense_Chile02a;8
Liederobosmina_chilense_Argentina08a;8
Liederobosmina_chilense_Argentina08b;8
Liederobosmina_chilense_Argentina08c;8
Liederobosmina_chilense_Argentina08d;8
ANDEA053N22_Bosmina_Colombia_BOLD_AFG0616;9
ANDEA054N22_Bosmina_Colombia_BOLD_AFG0616;9
ANDEA055N22_Bosmina_Colombia_BOLD_AFG0616;9
ANDEA024N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA037N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA008N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA040N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA013N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA006N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA007N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA039N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA005N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA038N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
Liederobosmina_USA08a;9
Liederobosmina_USA08b;9
Liederobosmina_USA05a;9
Liederobosmina_USA11e;9
Liederobosmina_USA11c;9
Liederobosmina_USA11b;9
Liederobosmina_USA11a;9
Liederobosmina_USA11d;9
Liederobosmina_USA13a;9
Liederobosmina_USA14b;9
COAPP328N13_Bosmina_Canada_BOLD_ACF9023;9
COAPP329N13_Bosmina_Canada_BOLD_ACF9023;9
COAPP559N13_Bosmina_Canada_BOLD_ACF9023;9
Liederobosmina_USA14a;9
Liederobosmina_USA20a;9
Liederobosmina_USA23a;9
Liederobosmina_USA21a;9
Liederobosmina_USA21b;9
Liederobosmina_Guatemala01b;9
EU702022_Eubosmina_tubicen;9
ZPLMX411N06_B_tubicen_Guatemala_BOLD_AAD9782;9
EU702023_Eubosmina_tubicen;9
Liederobosmina_Guatemala01a;9
ZPLMX410N06_B_tubicen_Guatemala_BOLD_AAD9782;9
KC617494_Eubosmina_tubicen;9
EXDB448N20_B_tubicen_Mexico_BOLD_AAD9782;9
Liederobosmina_Mexico03a;9
KC617011_Eubosmina_tubicen;9
EXDB579N21_B_tubicen_Mexico_BOLD_AAD9782;9
EXDB732N21_B_tubicen_Mexico_BOLD_AAD9782;9
ZPLIV669N11_B_bosmina_tubicen_Mexico_BOLD_AAD9782;9
EXDB731N21_B_tubicen_Mexico_BOLD_AAD9782;9
KC617636_Eubosmina_tubicen;9
JN294866_Anomopoda_sp_BOLD_AAD9782;9
BCRUA088N10_Bosmina_United_States_BOLD_AAD9782;9
BCRUA087N10_Bosmina_United_States_BOLD_AAD9782;9
JN294865_Anomopoda_sp_BOLD_AAD9782;9
BCRUA161N10_Bosmina_United_States_BOLD_AAD9782;9
JN294890_Anomopoda_sp_BOLD_AAD9782;9
BCRUA159N10_Bosmina_United_States_BOLD_AAD9782;9
JN294889_Anomopoda_sp_BOLD_AAD9782;9
MZ517641_Eubosmina_tubicen;9
SKAAN883N19_B_tubicen_Mexico_BOLD_AAD9782;9
MZ517920_Eubosmina_tubicen;9
SKAAN890N19_B_tubicen_Mexico_BOLD_AAD9782;9
MZ517739_Eubosmina_tubicen;9
MZ517893_Eubosmina_tubicen;9
SKAAN872N19_B_tubicen_Mexico_BOLD_AAD9782;9
MZ517466_Eubosmina_tubicen;9
SKAAN737N19_B_tubicen_Mexico_BOLD_AAD9782;9
SKAAN742N19_B_tubicen_Mexico_BOLD_AAD9782;9
KC617009_Eubosmina_tubicen;9
KC617012_Eubosmina_tubicen;9
KC617013_Eubosmina_tubicen;9
EXDB1873N21_B_tubicen_Mexico_BOLD_AAD9782;9
KC617008_Eubosmina_tubicen;9
KC617010_Eubosmina_tubicen;9
Liederobosmina_Mexico02a;9
Liederobosmina_Mexico02b;9
Liederobosmina_Guatemala01c;9
Liederobosmina_Guatemala01d;9
Liederobosmina_Guatemala01e;9
EU702026_Eubosmina_tubicen;9
EU702025_Eubosmina_tubicen;9
ZPLMX141N06_B_tubicen_Guatemala_BOLD_AAD9782;9
ZPLMX409N06_B_tubicen_Guatemala_BOLD_AAD9782;9
EU702024_Eubosmina_tubicen;9
ZPLMX140N06_B_tubicen_Guatemala_BOLD_AAD9782;9
MZ517828_Eubosmina_tubicen;9
SKAAN126N19_B_tubicen_Mexico_BOLD_AAD9782;9
MZ517951_Eubosmina_tubicen;9
SKAAN316N19_B_tubicen_Mexico_BOLD_AAD9782;9
SKAAN128N19_B_tubicen_Mexico_BOLD_AAD9782;9
MZ517335_Eubosmina_tubicen;9
MZ517674_Eubosmina_tubicen;9
SKAAN305N19_B_tubicen_Mexico_BOLD_AAD9782;9
MZ517857_Eubosmina_tubicen;9
MZ517899_Eubosmina_tubicen;9
SKAAN074N19_B_tubicen_Mexico_BOLD_AAD9782;9
SKAAN075N19_B_tubicen_Mexico_BOLD_AAD9782;9
MZ517301_Eubosmina_tubicen;9
SKAAN072N19_B_tubicen_Mexico_BOLD_AAD9782;9
MT888247_Eubosmina_tubicen;9
CAZUL191N17_B_tubicen_Mexico_BOLD_AAD9782;9
CAZUL195N17_B_tubicen_Mexico_BOLD_AAD9782;9
MT888325_Eubosmina_tubicen;9
CAZUL192N17_B_tubicen_Mexico_BOLD_AAD9782;9
MT888366_Eubosmina_tubicen;9
CAZUL193N17_B_tubicen_Mexico_BOLD_AAD9782;9
MT888336_Eubosmina_tubicen;9
CAZUL194N17_B_tubicen_Mexico_BOLD_AAD9782;9
MT888279_Eubosmina_tubicen;9
CAZUL101N17_B_tubicen_Mexico_BOLD_AAD9782;9
MT888232_Eubosmina_tubicen;9
CAZUL102N17_B_tubicen_Mexico_BOLD_AAD9782;9
MT888361_Eubosmina_tubicen;9
CAZUL105N17_B_tubicen_Mexico_BOLD_AAD9782;9
MT888464_Eubosmina_tubicen;9
CAZUL104N17_B_tubicen_Mexico_BOLD_AAD9782;9
MT888481_Eubosmina_tubicen;9
ZPLV327N18_Bosmina_Colombia_BOLD_ADO6195;10
ZPLV333N18_Bosmina_Colombia_BOLD_ADO6195;10
ZPLV328N18_Bosmina_Colombia_BOLD_ADO6195;10
ZPLV371N18_Bosmina_Colombia_BOLD_ADO6195;10
ZPLV330N18_Bosmina_Colombia_BOLD_ADO6195;10
ZPLV337N18_Bosmina_Colombia_BOLD_ADO6195;10
BROA022N21_Bosmina_Brazil_BOLD_AEO1713;10
BROA080N21_Bosmina_Brazil_BOLD_AEO1713;10
PV786644_B_sp;10
Liederobosmina_Argentina02b;10
Liederobosmina_Argentina02a;10
Liederobosmina_Argentina02c;10
Liederobosmina_huaronensis_Argentina01a;11
Liederobosmina_huaronensis_Argentina04a;11
Liederobosmina_huaronensis_Argentina05a;11
DQ310636_B_sp2_JRdWN2005;11
Liederobosmina_huaronensis_Argentina06a;11
Liederobosmina_huaronensis_Argentina02e;11
Liederobosmina_huaronensis_Argentina02f;11
ZTITI200N25_Bosmina_Peru_BOLD_AAW7826;11
ZTITI268N25_Bosmina_Peru_BOLD_AAW7826;11
ZTITI008N23_Bosmina_Peru_BOLD_AAW7826;11
ZTITI290N25_Bosmina_Peru_BOLD_AAW7826;11
ZTITI171N24_Bosmina_Peru_BOLD_AAW7826;11
ZTITI024N23_Bosmina_Peru_BOLD_AAW7826;11
ZTITI289N25_Bosmina_Peru_BOLD_AAW7826;11
ZTITI005N23_Bosmina_Peru_BOLD_AAW7826;11
ZTITI044N23_Bosmina_Peru_BOLD_AAW7826;11
ZTITI089N23_Bosmina_Peru_BOLD_AAW7826;11
ZTITI170N24_Bosmina_Peru_BOLD_AAW7826;11
ZTITI265N25_Bosmina_Peru_BOLD_AAW7826;11
ZTITI039N23_Bosmina_Peru_BOLD_AAW7826;11
ZTITI007N23_Bosmina_Peru_BOLD_AAW7826;11
ZTITI172N24_Bosmina_Peru_BOLD_AAW7826;11
ZTITI168N24_Bosmina_Peru_BOLD_AAW7826;11
ZTITI314N25_Bosmina_Peru_BOLD_AAW7826;11
ZTITI331N25_Bosmina_Peru_BOLD_AAW7826;11
ZPII1106N11_B_huaronensis_Mexico_BOLD_AAZ8987;11
KC616787_Eubosmina_huaronensis;11
Liederobosmina_Mexico10a;11
ECCAJ304N23_B_huaronensis_Ecuador_BOLD_AFI2124;11
ECCAJ308N23_B_huaronensis_Ecuador_BOLD_AFI2124;11
ECCAJ388N23_B_huaronensis_Ecuador_BOLD_AFI2124;11
KC616791_Eubosmina_huaronensis;11
Liederobosmina_cf_huaronensis_USA03b;11
MCM693N17_B_sp_Mexico_BOLD_AAB9669;11
MCM700N17_B_sp_Mexico_BOLD_AAB9669;11
MCM701N17_B_sp_Mexico_BOLD_AAB9669;11
MCM690N17_B_sp_Mexico_BOLD_AAB9669;11
MCM699N17_B_sp_Mexico_BOLD_AAB9669;11
KC616792_Eubosmina_huaronensis;11
MCM691N17_B_sp_Mexico_BOLD_AAB9669;11
MCM694N17_B_sp_Mexico_BOLD_AAB9669;11
ZPII839N11_B_huaronensis_Mexico_BOLD_AAB9669;11
KC616789_Eubosmina_huaronensis;11
MCM695N17_B_sp_Mexico_BOLD_AAB9669;11
MCM696N17_B_sp_Mexico_BOLD_AAB9669;11
KC616790_Eubosmina_huaronensis;11
KC616788_Eubosmina_huaronensis;11
Liederobosmina_Mexico08a;11
MCM698N17_B_sp_Mexico_BOLD_AAB9669;11
Liederobosmina_cf_huaronensis_USA03a;11
MCM692N17_B_sp_Mexico_BOLD_AAB9669;11
ZPII936N11_B_huaronensis_Mexico_BOLD_AAB9669;11
Liederobosmina_Mexico09a;11
MCM697N17_B_sp_Mexico_BOLD_AAB9669;11
Liederobosmina_Mexico09b;11
ZPII837N11_B_huaronensis_Mexico_BOLD_AAB9669;11
EU702010_Eubosmina_huaronensis;11
Liederobosmina_Mexico01b;11
Liederobosmina_Mexico01h;11
KC616786_Eubosmina_huaronensis;11
ZPII1068N11_B_huaronensis_Mexico_BOLD_AAB9669;11
Liederobosmina_Mexico01g;11
EU702012_Eubosmina_huaronensis;11
ZPLMX402N06_B_huaronensis_Mexico_BOLD_AAB9669;11
EU702005_Eubosmina_huaronensis;11
EU702004_Eubosmina_huaronensis;11
Liederobosmina_Mexico05b;11
Liederobosmina_Mexico01f;11
ZPLMX404N06_B_huaronensis_Mexico_BOLD_AAB9669;11
Liederobosmina_Mexico01d;11
ZPII1454N11_B_huaronensis_Mexico_BOLD_AAB9669;11
ZPLMX146N06_B_huaronensis_Mexico_BOLD_AAB9669;11
EU702015_Eubosmina_huaronensis;11
ZPLMX148N06_B_huaronensis_Mexico_BOLD_AAB9669;11
EU702017_Eubosmina_huaronensis;11
ZPLMX147N06_B_huaronensis_Mexico_BOLD_AAB9669;11
ZPLMX401N06_B_huaronensis_Mexico_BOLD_AAB9669;11
ZPLMX850N06_B_huaronensis_Mexico_BOLD_AAB9669;11
Liederobosmina_Mexico01e;11
Liederobosmina_Mexico05a;11
EU702014_Eubosmina_huaronensis;11
EU702016_Eubosmina_huaronensis;11
Liederobosmina_Mexico04c;11
KC617509_Eubosmina_huaronensis;11
ZPLMX407N06_B_huaronensis_Mexico_BOLD_AAB9669;11
Liederobosmina_Mexico11b;11
ZPLMX851N06_B_huaronensis_Mexico_BOLD_AAB9669;11
EU702013_Eubosmina_huaronensis;11
Liederobosmina_Mexico11c;11
EU702007_Eubosmina_huaronensis;11
ZPLMX240N06_B_huaronensis_Mexico_BOLD_AAB9669;11
ZPLIV515N11_B_huaronensis_Mexico_BOLD_AAB9669;11
ZPLMX405N06_B_huaronensis_Mexico_BOLD_AAB9669;11
KC617505_Eubosmina_huaronensis;11
KC617510_Eubosmina_huaronensis;11
KC616793_Eubosmina_huaronensis;11
Liederobosmina_Mexico10b;11
ZPLIV506N11_B_huaronensis_Mexico_BOLD_AAB9669;11
MG449420_Eubosmina_huaronensis;11
Liederobosmina_Mexico05d;11
Liederobosmina_Mexico05c;11
ZPLIV610N11_B_huaronensis_Mexico_BOLD_AAB9669;11
Liederobosmina_Mexico04b;11
KC617511_Eubosmina_huaronensis;11
MG450143_Eubosmina_huaronensis;11
Liederobosmina_Mexico11a;11
EU702003_Eubosmina_huaronensis;11
EU702009_Eubosmina_huaronensis;11
ZPLIV603N11_B_huaronensis_Mexico_BOLD_AAB9669;11
Liederobosmina_Mexico05e;11
ZPII1067N11_B_huaronensis_Mexico_BOLD_AAB9669;11
ZPLIV507N11_B_huaronensis_Mexico_BOLD_AAB9669;11
EU702008_Eubosmina_huaronensis;11
KC617508_Eubosmina_huaronensis;11
KC617502_Eubosmina_huaronensis;11
KC617501_Eubosmina_huaronensis;11
ZPLMX406N06_B_huaronensis_Mexico_BOLD_AAB9669;11
Liederobosmina_Mexico01c;11
EU702011_Eubosmina_huaronensis;11
ZPLMX403N06_B_huaronensis_Mexico_BOLD_AAB9669;11
EU702006_Eubosmina_huaronensis;11
Liederobosmina_Mexico06a;11
ZPLIV509N11_B_huaronensis_Mexico_BOLD_AAB9669;11
ZPLIV604N11_B_huaronensis_Mexico_BOLD_AAB9669;11
