Sequence;MOTU_ABGD
MG449857_B_liederi;8
MG449875_B_liederi;8
MG449888_B_liederi;8
MG449897_B_liederi;8
MG449969_B_liederi;8
MG449972_B_liederi;8
MG450047_B_liederi;8
MG450050_B_liederi;8
MG450151_B_liederi_AK;8
MG450153_B_liederi;8
MG450170_B_liederi;8
MG450174_B_liederi;8
MG450204_B_liederi;8
MG450208_B_liederi;8
MG450272_B_liederi;8
MG450291_B_liederi;8
MG450294_B_liederi;8
MG450318_B_liederi;8
OP829920_B_liederi;8
OP830104_B_liederi;8
OP830155_B_liederi;8
OP830311_B_liederi;8
HQ966466_B_liederi;9
HQ966467_B_liederi;9
HQ966468_B_liederi;9
OP829953_B_liederi;10
OP830253_B_liederi;10
OP830059_B_liederi;11
BACZP386N16_B_huaronensis_Mexico_BOLD_AAB9669;12
BACZP388N16_B_huaronensis_Mexico_BOLD_AAB9669;12
EU702003_Eubosmina_huaronensis;12
EU702004_Eubosmina_huaronensis;12
EU702005_Eubosmina_huaronensis;12
EU702006_Eubosmina_huaronensis;12
EU702007_Eubosmina_huaronensis;12
EU702008_Eubosmina_huaronensis;12
EU702009_Eubosmina_huaronensis;12
EU702011_Eubosmina_huaronensis;12
EU702012_Eubosmina_huaronensis;12
EU702013_Eubosmina_huaronensis;12
EU702014_Eubosmina_huaronensis;12
EU702016_Eubosmina_huaronensis;12
EU702017_Eubosmina_huaronensis;12
KC616786_Eubosmina_huaronensis;12
KC616788_Eubosmina_huaronensis;12
KC616789_Eubosmina_huaronensis;12
KC616790_Eubosmina_huaronensis;12
KC616791_Eubosmina_huaronensis;12
KC616792_Eubosmina_huaronensis;12
KC616793_Eubosmina_huaronensis;12
KC617500_Eubosmina_huaronensis;12
KC617501_Eubosmina_huaronensis;12
KC617502_Eubosmina_huaronensis;12
KC617503_Eubosmina_huaronensis;12
KC617504_Eubosmina_huaronensis;12
KC617505_Eubosmina_huaronensis;12
KC617506_Eubosmina_huaronensis;12
KC617507_Eubosmina_huaronensis;12
KC617508_Eubosmina_huaronensis;12
KC617509_Eubosmina_huaronensis;12
KC617510_Eubosmina_huaronensis;12
KC617511_Eubosmina_huaronensis;12
Liederobosmina_cf_huaronensis_USA03a;12
Liederobosmina_cf_huaronensis_USA03b;12
Liederobosmina_Mexico01c;12
Liederobosmina_Mexico01d;12
Liederobosmina_Mexico01e;12
Liederobosmina_Mexico01f;12
Liederobosmina_Mexico01g;12
Liederobosmina_Mexico01h;12
Liederobosmina_Mexico04a;12
Liederobosmina_Mexico04b;12
Liederobosmina_Mexico04c;12
Liederobosmina_Mexico05a;12
Liederobosmina_Mexico05b;12
Liederobosmina_Mexico05c;12
Liederobosmina_Mexico05e;12
Liederobosmina_Mexico06a;12
Liederobosmina_Mexico06c;12
Liederobosmina_Mexico07a;12
Liederobosmina_Mexico08a;12
Liederobosmina_Mexico09a;12
Liederobosmina_Mexico09b;12
Liederobosmina_Mexico10b;12
Liederobosmina_Mexico11a;12
Liederobosmina_Mexico11b;12
Liederobosmina_Mexico11c;12
MCM691N17_B_sp_Mexico_BOLD_AAB9669;12
MCM692N17_B_sp_Mexico_BOLD_AAB9669;12
MCM694N17_B_sp_Mexico_BOLD_AAB9669;12
MCM695N17_B_sp_Mexico_BOLD_AAB9669;12
MCM696N17_B_sp_Mexico_BOLD_AAB9669;12
MCM697N17_B_sp_Mexico_BOLD_AAB9669;12
MCM698N17_B_sp_Mexico_BOLD_AAB9669;12
MCM699N17_B_sp_Mexico_BOLD_AAB9669;12
MCM701N17_B_sp_Mexico_BOLD_AAB9669;12
MG449420_Eubosmina_huaronensis;12
MG450143_Eubosmina_huaronensis;12
ZPII1067N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPII1068N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPII1454N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPII837N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPII839N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPII936N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV506N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV507N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV508N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV509N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV515N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV601N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV602N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV603N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV604N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV610N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV690N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLIV750N11_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX146N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX147N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX240N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX401N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX402N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX403N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX404N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX405N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX406N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX407N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX849N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX850N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX851N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ZPLMX852N06_B_huaronensis_Mexico_BOLD_AAB9669;12
ECCAJ304N23_B_huaronensis_Ecuador_BOLD_AFI2124;13
ECCAJ308N23_B_huaronensis_Ecuador_BOLD_AFI2124;13
ECCAJ388N23_B_huaronensis_Ecuador_BOLD_AFI2124;13
EU702010_Eubosmina_huaronensis;14
Liederobosmina_Mexico01b;14
EU702015_Eubosmina_huaronensis;15
Liederobosmina_Mexico05d;15
ZPLMX148N06_B_huaronensis_Mexico_BOLD_AAB9669;15
KC616787_Eubosmina_huaronensis;16
Liederobosmina_Mexico10a;16
ZPII1106N11_B_huaronensis_Mexico_BOLD_AAZ8987;16
MCM690N17_B_sp_Mexico_BOLD_AAB9669;17
MCM693N17_B_sp_Mexico_BOLD_AAB9669;18
MCM700N17_B_sp_Mexico_BOLD_AAB9669;19
BACZP387N16_B_longirostris_Mexico_BOLD_AAD9496;20
EU702018_B_longirostris;20
EU702019_B_longirostris;20
EU702020_B_longirostris;20
HM883958_B_longirostris;20
HM883961_B_longirostris;20
HM883995_B_longirostris;20
HM883999_B_longirostris;20
MG450147_B_longirostris;20
BBCRU025N10_Bosmina_Canada_BOLD_AAV0686;21
JN290618_Anomopoda_sp_BOLD_AAV0686;21
JN290619_Anomopoda_sp_BOLD_AAV0686;21
JN290620_Anomopoda_sp_BOLD_AAV0686;21
JN290621_Anomopoda_sp_BOLD_AAV0686;21
JN290621_Anomopoda_sp_BOLD_AAV06865;21
JN290622_Anomopoda_sp_BOLD_AAV0686;21
KM611608_B_sp_BOLD_AAV0686;21
COAPP312N13_Bosmina_Canada_BOLD_ABX4934;22
COAPP558N13_Bosmina_Canada_BOLD_ABX4934;23
MG448688_B_longirostris;23
MG448689_B_longirostris;23
MG448838_B_longirostris;23
MG449713_B_longirostris;23
MG449850_B_longirostris;23
MG449851_B_longirostris;23
MG449952_B_longirostris;23
MG449967_B_longirostris_FREYI2_AK;23
MG449982_B_longirostris;23
MG450021_B_longirostris;23
MG450033_B_longirostris;23
MG450086_B_longirostris;23
ZPLCA001N06_Bosmina_Canada_BOLD_ABX4934;23
ZPLKA177N15_B_longirostris_Mexico_BOLD_AAD9496;24
ZPLV090N17_B_longirostris_Mexico_BOLD_AAD9496;25
ZPLV091N17_B_longirostris_Mexico_BOLD_AAD9496;25
ZPLV092N17_B_longirostris_Mexico_BOLD_AAD9496;25
ZPLV098N17_B_longirostris_Mexico_BOLD_AAD9496;25
ZPLV097N17_B_longirostris_Mexico_BOLD_AAD9496;26
BBCRU249N12_Bosmina_Canada_BOLD_ACA6834;27
COAPP296N13_Bosmina_Canada_BOLD_ACA6834;27
COAPP303N13_Bosmina_Canada_BOLD_ACA6834;27
COAPP530N13_Bosmina_Canada_BOLD_ACA6834;27
ECCAJ025N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ036N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ039N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ040N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ051N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ067N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ114N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ129N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ131N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ132N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ133N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ134N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ136N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ247N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ268N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ270N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ280N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ305N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ317N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ480N23_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ485N24_Bosmina_Ecuador_BOLD_ACA6834;27
ECCAJ494N24_Bosmina_Ecuador_BOLD_ACA6834;27
KU315493_B_freyi;27
LC215481_B_sp;27
BCRUA087N10_Bosmina_United_States_BOLD_AAD9782;28
BCRUA088N10_Bosmina_United_States_BOLD_AAD9782;28
BCRUA159N10_Bosmina_United_States_BOLD_AAD9782;28
BCRUA161N10_Bosmina_United_States_BOLD_AAD9782;28
CAZUL101N17_B_tubicen_Mexico_BOLD_AAD9782;28
CAZUL102N17_B_tubicen_Mexico_BOLD_AAD9782;28
CAZUL104N17_B_tubicen_Mexico_BOLD_AAD9782;28
CAZUL105N17_B_tubicen_Mexico_BOLD_AAD9782;28
CAZUL191N17_B_tubicen_Mexico_BOLD_AAD9782;28
CAZUL192N17_B_tubicen_Mexico_BOLD_AAD9782;28
CAZUL193N17_B_tubicen_Mexico_BOLD_AAD9782;28
CAZUL194N17_B_tubicen_Mexico_BOLD_AAD9782;28
CAZUL195N17_B_tubicen_Mexico_BOLD_AAD9782;28
EU702022_Eubosmina_tubicen;28
EU702023_Eubosmina_tubicen;28
EU702024_Eubosmina_tubicen;28
EU702025_Eubosmina_tubicen;28
EU702026_Eubosmina_tubicen;28
EXDB1873N21_B_tubicen_Mexico_BOLD_AAD9782;28
EXDB448N20_B_tubicen_Mexico_BOLD_AAD9782;28
EXDB579N21_B_tubicen_Mexico_BOLD_AAD9782;28
EXDB731N21_B_tubicen_Mexico_BOLD_AAD9782;28
EXDB732N21_B_tubicen_Mexico_BOLD_AAD9782;28
JN294865_Anomopoda_sp_BOLD_AAD9782;28
JN294866_Anomopoda_sp_BOLD_AAD9782;28
JN294889_Anomopoda_sp_BOLD_AAD9782;28
JN294890_Anomopoda_sp_BOLD_AAD9782;28
KC617008_Eubosmina_tubicen;28
KC617009_Eubosmina_tubicen;28
KC617010_Eubosmina_tubicen;28
KC617011_Eubosmina_tubicen;28
KC617012_Eubosmina_tubicen;28
KC617013_Eubosmina_tubicen;28
KC617494_Eubosmina_tubicen;28
KC617636_Eubosmina_tubicen;28
Liederobosmina_Guatemala01a;28
Liederobosmina_Guatemala01b;28
Liederobosmina_Guatemala01c;28
Liederobosmina_Guatemala01d;28
Liederobosmina_Guatemala01e;28
Liederobosmina_Mexico02a;28
Liederobosmina_Mexico02b;28
Liederobosmina_Mexico03a;28
MT888232_Eubosmina_tubicen;28
MT888247_Eubosmina_tubicen;28
MT888279_Eubosmina_tubicen;28
MT888325_Eubosmina_tubicen;28
MT888336_Eubosmina_tubicen;28
MT888361_Eubosmina_tubicen;28
MT888366_Eubosmina_tubicen;28
MT888464_Eubosmina_tubicen;28
MT888481_Eubosmina_tubicen;28
MZ517301_Eubosmina_tubicen;28
MZ517335_Eubosmina_tubicen;28
MZ517466_Eubosmina_tubicen;28
MZ517641_Eubosmina_tubicen;28
MZ517674_Eubosmina_tubicen;28
MZ517739_Eubosmina_tubicen;28
MZ517828_Eubosmina_tubicen;28
MZ517857_Eubosmina_tubicen;28
MZ517893_Eubosmina_tubicen;28
MZ517899_Eubosmina_tubicen;28
MZ517920_Eubosmina_tubicen;28
MZ517951_Eubosmina_tubicen;28
SKAAN072N19_B_tubicen_Mexico_BOLD_AAD9782;28
SKAAN074N19_B_tubicen_Mexico_BOLD_AAD9782;28
SKAAN075N19_B_tubicen_Mexico_BOLD_AAD9782;28
SKAAN126N19_B_tubicen_Mexico_BOLD_AAD9782;28
SKAAN128N19_B_tubicen_Mexico_BOLD_AAD9782;28
SKAAN305N19_B_tubicen_Mexico_BOLD_AAD9782;28
SKAAN316N19_B_tubicen_Mexico_BOLD_AAD9782;28
SKAAN737N19_B_tubicen_Mexico_BOLD_AAD9782;28
SKAAN742N19_B_tubicen_Mexico_BOLD_AAD9782;28
SKAAN872N19_B_tubicen_Mexico_BOLD_AAD9782;28
SKAAN883N19_B_tubicen_Mexico_BOLD_AAD9782;28
SKAAN890N19_B_tubicen_Mexico_BOLD_AAD9782;28
ZPLIV669N11_B_bosmina_tubicen_Mexico_BOLD_AAD9782;28
ZPLMX140N06_B_tubicen_Guatemala_BOLD_AAD9782;28
ZPLMX141N06_B_tubicen_Guatemala_BOLD_AAD9782;28
ZPLMX409N06_B_tubicen_Guatemala_BOLD_AAD9782;28
ZPLMX410N06_B_tubicen_Guatemala_BOLD_AAD9782;28
ZPLMX411N06_B_tubicen_Guatemala_BOLD_AAD9782;28
BROA022N21_Bosmina_Brazil_BOLD_AEO1713;29
BROA080N21_Bosmina_Brazil_BOLD_AEO1713;29
Liederobosmina_Argentina02a;29
Liederobosmina_Argentina02b;29
Liederobosmina_Argentina02c;29
PV786644_B_sp;29
CAISN020N12_Bosmina_Canada_BOLD_AAW7791;30
CAISN022N12_Bosmina_Canada_BOLD_AAW7791;30
CAISN034N12_Bosmina_Canada_BOLD_AAW7791;30
CAISN035N12_Bosmina_Canada_BOLD_AAW7791;30
CAISN914N13_B_sp_Canada_BOLD_AAW7791;30
DNARA1511N21_Bosmina_Canada_BOLD_AEA3695;30
DNARA1513N21_Bosmina_Canada_BOLD_AEA3695;30
DNARA2094N21_Bosmina_Canada_BOLD_AEA3695;30
DNARA2096N21_Bosmina_Canada_BOLD_AEA3695;30
DNARA2097N21_Bosmina_Canada_BOLD_AEA3695;30
DNARA2325N21_Bosmina_Canada_BOLD_AEA3695;30
DNARA2326N21_Bosmina_Canada_BOLD_AEA3695;30
DNARA2371N21_Bosmina_Canada_BOLD_AEA3695;30
DNARA2372N21_Bosmina_Canada_BOLD_AEA3695;30
DNARA2373N21_Bosmina_Canada_BOLD_AEA3695;30
DNARA2374N21_Bosmina_Canada_BOLD_AEA3695;30
DNARA2375N21_Bosmina_Canada_BOLD_AEA3695;30
DNARA2952N21_Bosmina_Canada_BOLD_AEA3695;30
DNARA2953N21_Bosmina_Canada_BOLD_AEA3695;30
DNARA2954N21_Bosmina_Canada_BOLD_AEA3695;30
DNARA2955N21_Bosmina_Canada_BOLD_AEA3695;30
DNARA2956N21_Bosmina_Canada_BOLD_AEA3695;30
DNARA2957N21_Bosmina_Canada_BOLD_AEA3695;30
DNARC013N19_Bosmina_Canada_BOLD_AEA3695;30
DQ310635_B_sp1_JRdWN2005;30
DQ889083_B_sp_BOLD_AAW7791;30
GCHAR1120N19_Bosmina_Canada_BOLD_AEA3695;30
GCHAR1121N19_Bosmina_Canada_BOLD_AEA3695;30
GCHAR1122N19_Bosmina_Canada_BOLD_AEA3695;30
MG449616_B_sp;30
MH321381_Eubosmina_longispina;30
MH321382_Eubosmina_longispina;30
MH321383_Eubosmina_longispina;30
MH321384_Eubosmina_longispina;30
MH321385_Eubosmina_longispina;30
MH321386_Eubosmina_longispina;30
MH321387_Eubosmina_longispina;30
MH321388_Eubosmina_longispina;30
MH321389_Eubosmina_longispina;30
MH321390_Eubosmina_longispina;30
MH321391_Eubosmina_longispina;30
MH321392_Eubosmina_longispina;30
MH321393_Eubosmina_longispina;30
MH321394_Eubosmina_longispina;30
MH321395_Eubosmina_longispina;30
MH321396_Eubosmina_longispina;30
MZ964905_B_sp1;30
MZ964907_B_sp1;30
OP829924_B_cf_longispina;30
OP829977_B_cf_coregoni;30
OP830017_B_cf_longispina;30
OP830043_B_cf_coregoni;30
OP830119_B_cf_longispina;30
OP830246_B_cf_coregoni;30
OP830292_B_cf_longispina;30
ZOOPS187N18_B_cf_longispina_Finland_BOLD_AAW7791;30
ZOOPS188N18_B_cf_longispina_Finland_BOLD_ADR9483;30
COAPP328N13_Bosmina_Canada_BOLD_ACF9023;31
COAPP329N13_Bosmina_Canada_BOLD_ACF9023;31
COAPP559N13_Bosmina_Canada_BOLD_ACF9023;31
Liederobosmina_USA05a;31
Liederobosmina_USA08a;31
Liederobosmina_USA08b;31
Liederobosmina_USA11a;31
Liederobosmina_USA11b;31
Liederobosmina_USA11c;31
Liederobosmina_USA11d;31
Liederobosmina_USA11e;31
Liederobosmina_USA13a;31
Liederobosmina_USA14a;31
Liederobosmina_USA14b;31
Liederobosmina_USA20a;31
Liederobosmina_USA21a;31
Liederobosmina_USA21b;31
Liederobosmina_USA23a;31
DNARA1457N21_Bosmina_Canada_BOLD_AEN5568;32
DNARA1630N21_Bosmina_Canada_BOLD_AEN5568;32
DNARA1682N21_Bosmina_Canada_BOLD_AEN5568;32
DNARA1683N21_Bosmina_Canada_BOLD_AEN5568;32
DNARA1684N21_Bosmina_Canada_BOLD_AEN5568;32
DNARA1811N21_Bosmina_Canada_BOLD_AEN5568;32
DNARA1812N21_Bosmina_Canada_BOLD_AEN5568;32
DNARA1652N21_Bosmina_Canada_BOLD_AEN5581;33
DNARA1820N21_Bosmina_Canada_BOLD_AEN5581;33
DQ310636_B_sp2_JRdWN2005;34
Liederobosmina_huaronensis_Argentina02e;34
Liederobosmina_huaronensis_Argentina02f;34
Liederobosmina_huaronensis_Argentina04a;34
Liederobosmina_huaronensis_Argentina05a;34
Liederobosmina_huaronensis_Argentina06a;34
Liederobosmina_huaronensis_Argentina01a;35
ZTITI005N23_Bosmina_Peru_BOLD_AAW7826;36
ZTITI007N23_Bosmina_Peru_BOLD_AAW7826;36
ZTITI008N23_Bosmina_Peru_BOLD_AAW7826;36
ZTITI024N23_Bosmina_Peru_BOLD_AAW7826;36
ZTITI039N23_Bosmina_Peru_BOLD_AAW7826;36
ZTITI044N23_Bosmina_Peru_BOLD_AAW7826;36
ZTITI089N23_Bosmina_Peru_BOLD_AAW7826;36
ZTITI168N24_Bosmina_Peru_BOLD_AAW7826;36
ZTITI170N24_Bosmina_Peru_BOLD_AAW7826;36
ZTITI171N24_Bosmina_Peru_BOLD_AAW7826;36
ZTITI172N24_Bosmina_Peru_BOLD_AAW7826;36
ZTITI200N25_Bosmina_Peru_BOLD_AAW7826;36
ZTITI265N25_Bosmina_Peru_BOLD_AAW7826;36
ZTITI268N25_Bosmina_Peru_BOLD_AAW7826;36
ZTITI289N25_Bosmina_Peru_BOLD_AAW7826;36
ZTITI290N25_Bosmina_Peru_BOLD_AAW7826;36
ZTITI314N25_Bosmina_Peru_BOLD_AAW7826;36
ZTITI331N25_Bosmina_Peru_BOLD_AAW7826;36
EU702000_B_sp_BOLD_AAI4722;37
EU702001_B_sp_BOLD_AAI4722;37
KC508661_B_meridionalis;38
KC508662_B_meridionalis;38
Liederobosmina_meridionalis_Australia01a;38
Liederobosmina_meridionalis_Australia02a;38
Liederobosmina_meridionalis_Australia02b;38
KC616781_B_cf_liederi;39
KC616782_B_cf_liederi;39
KC616783_B_cf_liederi;39
KC616784_B_cf_liederi;39
KC616785_B_cf_liederi;39
KC617495_B_cf_liederi;39
KC617496_B_cf_liederi;39
KC617497_B_cf_liederi;39
KC617498_B_cf_liederi;39
KC617499_B_cf_liederi;39
KY091157_B_sp_Taihuzoo;40
LC215471_B_fatalis;40
LC215472_B_fatalis;40
LC215473_B_fatalis;40
LC215474_B_fatalis;40
LC215475_B_fatalis;40
MW770308_B_fatalis;40
LC215477_B_cf_longirostris;41
MW786945_B_fatalis;41
LC215478_B_cf_longirostris;42
LC215479_B_cf_longirostris;42
LC215480_B_cf_longirostris;42
Liederobosmina_american_longispina02;43
MG936043_B_sp;43
MG936238_B_sp;43
MG936240_B_sp;43
MG936261_B_sp;43
MG936530_B_sp;43
MG936534_B_sp;43
OP830153_B_cf_longispina;43
OP830166_B_cf_longispina;43
Liederobosmina_Argentina03a;44
