Sequence;ASAP_patri;ASAP_pair;ABGD_init_patri;ABGD_init_pair;ABGD_recur_patri;ABGD_recur_pair;locMin_patri;locMin_pair;Ward_patri;Ward_pair;Refined_patri;Refined_pair;GMYC_single;GMYC_multi;bGMYC_001;bGMYC_005;mPTP;bPTP_p0.01;KoT_t4;KoT_t6;KoT_t8
B_longirostris_Argentina01aa;11;2;14;2;22;3;14;23;23;29;12;23;8;6;3;3;20;27;2;2;2
B_longirostris_Argentina03aa;11;2;14;2;22;3;14;23;23;29;12;23;8;6;3;3;20;27;2;2;2
B_longirostris_Argentina04aa;11;2;14;2;22;3;14;23;23;29;12;23;8;6;3;3;20;27;2;2;2
B_longirostris_Argentina05aa;11;2;14;2;22;3;14;23;23;29;12;23;8;6;3;3;20;27;2;2;2
B_longirostris_Argentina06aa;11;2;14;2;22;3;14;23;23;29;12;23;8;6;3;3;20;27;2;2;2
CAISN069N12_Bosmina_Canada_BOLD_ACL8120;11;2;14;2;25;4;14;22;26;32;12;22;8;6;3;3;20;27;2;2;2
DNARA1185N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1186N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1187N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1188N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1189N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1190N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1191N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1626N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1627N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1628N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1629N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1631N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1632N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1653N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1655N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1658N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1659N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1660N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1666N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1667N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1809N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1821N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1822N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARA1823N21_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARC068N19_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
DNARC070N19_Bosmina_Canada_BOLD_AEA5586;11;2;14;2;26;5;14;22;26;33;12;22;8;6;3;3;20;27;2;2;2
ESP197N12_Bosmina_Spain_BOLD_ACA1800;11;2;14;2;23;6;14;24;24;30;12;24;8;6;3;3;20;27;2;2;2
ESP198N12_Bosmina_Spain_BOLD_ACA1800;11;2;14;2;23;6;14;24;24;30;12;24;8;6;3;3;20;27;2;2;2
ESP292N12_B_longirostris_Spain_BOLD_ACA9544;11;2;14;2;25;4;14;22;26;32;12;22;8;6;3;3;20;27;2;2;2
ESP505N14_B_meridionalis_Czechia_BOLD_AAO1376;11;2;14;2;21;2;14;22;22;28;12;22;8;6;3;3;20;27;2;2;2
ESP506N14_Bosmina_Czechia_BOLD_AAO1376;11;2;14;2;21;2;14;22;22;28;12;22;8;6;3;3;20;27;2;2;2
ESP507N14_B_meridionalis_Czechia_BOLD_AAO1376;11;2;14;2;21;2;14;22;22;28;12;22;8;6;3;3;20;27;2;2;2
ESP508N14_B_meridionalis_Czechia_BOLD_AAO1376;11;2;14;2;21;2;14;22;22;28;12;22;8;6;3;3;20;27;2;2;2
ESP509N14_B_meridionalis_Czechia_BOLD_AAO1376;11;2;14;2;21;2;14;22;22;28;12;22;8;6;3;3;20;27;2;2;2
KINBZ001N22_B_longirostris_Israel_BOLD_AEO5856;11;2;14;2;24;7;14;22;25;31;12;22;8;6;3;3;20;27;2;2;2
KINBZ002N22_B_longirostris_Israel_BOLD_AEO5856;11;2;14;2;24;7;14;22;25;31;12;22;8;6;3;3;20;27;2;2;2
KINBZ003N22_B_longirostris_Israel_BOLD_AEO5856;11;2;14;2;24;7;14;22;25;31;12;22;8;6;3;3;20;27;2;2;2
KINBZ004N22_B_longirostris_Israel_BOLD_AEO5856;11;2;14;2;24;7;14;22;25;31;12;22;8;6;3;3;20;27;2;2;2
KINBZ005N22_B_longirostris_Israel_BOLD_AEO5856;11;2;14;2;24;7;14;22;25;31;12;22;8;6;3;3;20;27;2;2;2
KINBZ006N22_B_longirostris_Israel_BOLD_AEO5856;11;2;14;2;24;7;14;22;25;31;12;22;8;6;3;3;20;27;2;2;2
KINBZ007N22_B_longirostris_Israel_BOLD_AEO5856;11;2;14;2;24;7;14;22;25;31;12;22;8;6;3;3;20;27;2;2;2
KINBZ008N22_B_longirostris_Israel_BOLD_AEO5856;11;2;14;2;24;7;14;22;25;31;12;22;8;6;3;3;20;27;2;2;2
KINBZ009N22_B_longirostris_Israel_BOLD_AAO1376;11;2;14;2;21;2;14;22;22;28;12;22;8;6;3;3;20;27;2;2;2
KINBZ010N22_B_longirostris_Israel_BOLD_AEO5856;11;2;14;2;24;7;14;22;25;31;12;22;8;6;3;3;20;27;2;2;2
KINBZ011N22_B_longirostris_Israel_BOLD_AEO5856;11;2;14;2;24;7;14;22;25;31;12;22;8;6;3;3;20;27;2;2;2
LC215476_B_cf_longirostris;11;2;14;2;25;4;14;22;26;32;12;22;8;6;3;3;20;27;2;2;2
BACZP1167N16_B_liederi_Canada_BOLD_ABZ8276;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
BACZP1230N16_B_liederi_Canada_BOLD_ABZ8276;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
BACZP1255N16_B_liederi_Canada_BOLD_ABZ8276;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
CAISN079N12_B_liederi_Canada_BOLD_ABZ8276;12;3;15;3;27;8;15;25;29;38;13;25;8;6;3;3;21;28;3;2;2
COAPP287N13_Bosmina_Canada_BOLD_AAI4721;12;3;15;3;27;8;15;25;27;35;13;25;8;6;3;3;21;28;3;2;2
COAPP288N13_Bosmina_Canada_BOLD_AAI4721;12;3;15;3;27;8;15;25;27;35;13;25;8;6;3;3;21;28;3;2;2
COAPP297N13_Bosmina_Canada_BOLD_AAI4721;12;3;15;3;27;8;15;25;27;35;13;25;8;6;3;3;21;28;3;2;2
COAPP411N13_B_liederi_Canada_BOLD_ABZ8276;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
ESP199N12_B_liederi_Spain_BOLD_ABZ8276;12;3;15;3;27;8;15;25;29;40;13;25;8;6;3;3;21;28;3;2;2
ESP200N12_B_liederi_Spain_BOLD_ABZ8276;12;3;15;3;27;8;15;25;29;40;13;25;8;6;3;3;21;28;3;2;2
ESP201N12_B_liederi_Spain_BOLD_ABZ8276;12;3;15;3;27;8;15;25;29;40;13;25;8;6;3;3;21;28;3;2;2
EU702002_B_sp_BOLD_AAI4721;12;3;15;3;27;8;15;25;27;35;13;25;8;6;3;3;21;28;3;2;2
GLC040N06_B_liederi_Canada_Great_Lakes;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
HQ966466_B_liederi;12;3;15;3;28;9;15;25;27;36;13;25;8;6;3;3;21;28;3;2;2
HQ966467_B_liederi;12;3;15;3;28;9;15;25;27;36;13;25;8;6;3;3;21;28;3;2;2
HQ966468_B_liederi;12;3;15;3;28;9;15;25;27;36;13;25;8;6;3;3;21;28;3;2;2
HQ966469_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
HQ966470_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
HQ966471_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
JN233822_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
JN233823_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
JN233824_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
KT705731_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
KT706147_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
KT707374_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
KT707760_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG448613_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG448631_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG448650_B_liederi;12;3;15;3;27;8;15;25;29;38;13;25;8;6;3;3;21;28;3;2;2
MG448657_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG448707_B_liederi;12;3;15;3;27;8;15;25;29;40;13;25;8;6;3;3;21;28;3;2;2
MG448765_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG448819_B_liederi;12;3;15;3;27;8;15;25;29;38;13;25;8;6;3;3;21;28;3;2;2
MG448897_B_liederi;12;3;15;3;27;8;15;25;29;38;13;25;8;6;3;3;21;28;3;2;2
MG448968_B_liederi;12;3;15;3;27;8;15;25;29;38;13;25;8;6;3;3;21;28;3;2;2
MG448971_B_liederi;12;3;15;3;27;8;15;25;29;40;13;25;8;6;3;3;21;28;3;2;2
MG449046_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG449067_B_liederi;12;3;15;3;27;8;15;25;29;40;13;25;8;6;3;3;21;28;3;2;2
MG449077_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG449102_B_liederi;12;3;15;3;27;8;15;25;29;40;13;25;8;6;3;3;21;28;3;2;2
MG449147_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
MG449180_B_liederi;12;3;15;3;27;8;15;25;29;38;13;25;8;6;3;3;21;28;3;2;2
MG449184_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG449207_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG449247_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
MG449253_B_liederi;12;3;15;3;27;8;15;25;29;40;13;25;8;6;3;3;21;28;3;2;2
MG449265_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG449273_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG449280_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
MG449315_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG449317_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
MG449340_B_liederi;12;3;15;3;27;8;15;25;29;40;13;25;8;6;3;3;21;28;3;2;2
MG449357_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG449359_B_liederi;12;3;15;3;27;8;15;25;29;38;13;25;8;6;3;3;21;28;3;2;2
MG449386_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG449436_B_liederi;12;3;15;3;27;8;15;25;29;40;13;25;8;6;3;3;21;28;3;2;2
MG449441_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
MG449478_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG449481_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG449492_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG449530_B_liederi;12;3;15;3;27;8;15;25;29;40;13;25;8;6;3;3;21;28;3;2;2
MG449575_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG449583_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG449668_B_liederi;12;3;15;3;27;8;15;25;29;38;13;25;8;6;3;3;21;28;3;2;2
MG449685_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
MG449712_B_liederi;12;3;15;3;27;8;15;25;29;38;13;25;8;6;3;3;21;28;3;2;2
MG449716_B_liederi;12;3;15;3;27;8;15;25;29;40;13;25;8;6;3;3;21;28;3;2;2
MG449744_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
MG449799_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
MG449821_B_liederi;12;3;15;3;27;8;15;25;29;38;13;25;8;6;3;3;21;28;3;2;2
MG449841_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
MG449847_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
MG449857_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG449875_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG449888_B_liederi;12;3;15;3;27;8;15;25;29;38;13;25;8;6;3;3;21;28;3;2;2
MG449897_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG449969_B_liederi;12;3;15;3;27;8;15;25;29;40;13;25;8;6;3;3;21;28;3;2;2
MG449972_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG450047_B_liederi;12;3;15;3;27;8;15;25;29;40;13;25;8;6;3;3;21;28;3;2;2
MG450050_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG450151_B_liederi_AK;12;3;15;3;27;8;15;25;29;40;13;25;8;6;3;3;21;28;3;2;2
MG450153_B_liederi;12;3;15;3;27;8;15;25;29;38;13;25;8;6;3;3;21;28;3;2;2
MG450170_B_liederi;12;3;15;3;27;8;15;25;29;38;13;25;8;6;3;3;21;28;3;2;2
MG450174_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG450204_B_liederi;12;3;15;3;27;8;15;25;29;38;13;25;8;6;3;3;21;28;3;2;2
MG450208_B_liederi;12;3;15;3;27;8;15;25;29;40;13;25;8;6;3;3;21;28;3;2;2
MG450272_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG450291_B_liederi;12;3;15;3;27;8;15;25;29;39;13;25;8;6;3;3;21;28;3;2;2
MG450294_B_liederi;12;3;15;3;27;8;15;25;29;40;13;25;8;6;3;3;21;28;3;2;2
MG450318_B_liederi;12;3;15;3;27;8;15;25;29;38;13;25;8;6;3;3;21;28;3;2;2
OP829920_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
OP829953_B_liederi;12;3;15;3;29;10;15;26;28;37;13;26;8;6;3;3;21;28;3;2;2
OP830059_B_liederi;12;3;15;3;30;11;15;26;28;37;13;27;8;6;3;3;21;28;3;2;2
OP830104_B_liederi;12;3;15;3;27;8;15;25;27;34;13;25;8;6;3;3;21;28;3;2;2
OP830155_B_liederi;12;3;15;3;27;8;15;25;29;38;13;25;8;6;3;3;21;28;3;2;2
OP830253_B_liederi;12;3;15;3;29;10;15;26;28;37;13;26;8;6;3;3;21;28;3;2;2
OP830311_B_liederi;12;3;15;3;27;8;15;25;29;38;13;25;8;6;3;3;21;28;3;2;2
BACZP386N16_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
BACZP388N16_B_huaronensis_Mexico_BOLD_AAB9669;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
ECCAJ304N23_B_huaronensis_Ecuador_BOLD_AFI2124;6;4;8;4;9;13;8;12;13;15;6;12;3;12;9;11;12;16;4;3;3
ECCAJ308N23_B_huaronensis_Ecuador_BOLD_AFI2124;6;4;8;4;9;13;8;12;13;15;6;12;3;12;9;11;12;16;4;3;3
ECCAJ388N23_B_huaronensis_Ecuador_BOLD_AFI2124;6;4;8;4;9;13;8;12;13;15;6;12;3;12;9;11;12;16;4;3;3
EU702003_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
EU702004_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
EU702005_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
EU702006_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
EU702007_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
EU702008_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
EU702009_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
EU702010_Eubosmina_huaronensis;6;4;8;4;9;14;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
EU702011_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
EU702012_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
EU702013_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
EU702014_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
EU702015_Eubosmina_huaronensis;6;4;8;4;9;15;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
EU702016_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
EU702017_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
KC616786_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
KC616787_Eubosmina_huaronensis;6;4;8;4;9;16;8;12;13;15;6;12;3;12;9;11;12;16;4;3;3
KC616788_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
KC616789_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
KC616790_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
KC616791_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
KC616792_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
KC616793_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
KC617500_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
KC617501_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
KC617502_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
KC617503_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
KC617504_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
KC617505_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
KC617506_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
KC617507_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
KC617508_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
KC617509_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
KC617510_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
KC617511_Eubosmina_huaronensis;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_cf_huaronensis_USA03a;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
Liederobosmina_cf_huaronensis_USA03b;6;4;8;4;9;12;8;12;12;14;6;12;3;14;9;11;12;16;4;3;3
Liederobosmina_Mexico01b;6;4;8;4;9;14;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico01c;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico01d;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico01e;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico01f;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico01g;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico01h;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico04a;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico04b;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico04c;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico05a;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico05b;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico05c;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico05d;6;4;8;4;9;15;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico05e;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico06a;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
Liederobosmina_Mexico06c;6;4;8;4;9;12;8;12;12;14;6;12;3;13;9;11;12;16;4;3;3
